Goal,Analysis variable,time,heatPumpSystem.declination,vol.V,heaCap.C,rad.n,theCon.G
Pel,S1,0.0,0.0,0.0,0.0,0.0,0.0
Pel,S1,10.0,0.0,0.0009881996984964705,0.0007144321429961436,0.9139728516799425,0.05596652434856135
Pel,S1,20.0,0.0,0.005177788878903077,0.008780251026065456,0.7307058742015893,0.18974778701771142
Pel,S1,30.0,0.0,0.013959775888399159,0.021418902952659455,0.5872389761307729,0.2947004041729702
Pel,S1,40.0,0.0,0.025680918726145984,0.03712761208894021,0.4934554972746361,0.3568566572326475
Pel,S1,50.0,0.0,0.03458960862300402,0.049267763119913065,0.42379178185288013,0.40556111224869895
Pel,S1,60.0,0.0,0.03687439795454266,0.05294486938549478,0.36297074544348235,0.460946924474765
Pel,S1,70.0,0.0,0.03229371185594155,0.04758982142587358,0.30382551135799685,0.5294148576412254
Pel,S1,80.0,0.0,0.023889717036169118,0.03683670266627897,0.24596262645590275,0.6050971765554574
Pel,S1,90.0,0.0,0.015648324605629402,0.025750890521237954,0.19380693551204003,0.6763221660256724
Pel,S1,100.0,0.0,0.00991477919739517,0.01754144026297968,0.1520062233871906,0.7343856782461023
Pel,S1,110.0,0.0,0.006935886871662045,0.012793493831324967,0.12191078173208773,0.7771566218027737
Pel,S1,120.0,0.0,0.0060304551569618685,0.010820416206658759,0.10184741733933178,0.8066689052472992
Pel,S1,130.0,0.0,0.006483022818224955,0.01078652301793622,0.08899986323044023,0.8260921927029997
Pel,S1,140.0,0.0,0.007690883185678353,0.011929564238414056,0.08068352951409723,0.838595618253617
Pel,S1,150.0,0.0,0.009031213353503719,0.013424777154754925,0.0747602914250937,0.8472727676389112
Pel,S1,160.0,0.0,0.009870970918288443,0.014413838299570898,0.06968023558931322,0.8549516095852753
Pel,S1,170.0,0.0,0.009782266799899153,0.01426841352396824,0.06446818459468544,0.8636204881158419
Pel,S1,180.0,0.0,0.008874319681053322,0.013049869454274205,0.05873275346042302,0.87437058180496
Pel,S1,190.0,0.0,0.007495358641438002,0.011192482085545465,0.05282057193956259,0.8862071283033779
Pel,S1,200.0,0.0,0.006156402496225784,0.009371823503955023,0.04732931032112931,0.8986746897491413
Pel,S1,210.0,0.0,0.004978278152581382,0.007804061476916842,0.042656587421051426,0.909578139480997
Pel,S1,220.0,0.0,0.0042231695285268695,0.006515709823512144,0.03883642666971873,0.918603870929463
Pel,S1,230.0,0.0,0.004253659533458032,0.006040968097234745,0.0364346605858596,0.9261720226985862
