Class,Goal,Analysis variable,speedRamp.duration,valveRamp.duration
global,all,S1,0.5917308997409292,0.379117599282294
global,all,ST,0.6205950853256805,0.40804812070929186
global,TCap,S1,0.5917215351510067,0.3793252681120051
global,TCap,ST,0.6203912510129758,0.4080628127755115
global,TPipe,S1,0.5917450423435522,0.3787723747099413
global,TPipe,ST,0.6209337961580995,0.4080251130684973
heat up,all,S1,0.8922962178451639,0.0005185141196262783
heat up,all,ST,0.9901108280563709,0.001378956953640209
heat up,TCap,S1,0.8872776153193306,0.00016329648721438874
heat up,TCap,ST,0.9898164616675547,0.0008451859400043782
heat up,TPipe,S1,0.8967070115849604,0.0011643877567905018
heat up,TPipe,ST,0.9899167804946783,0.0024034782867773385
cool down,all,S1,0.6550501792736069,0.2730958055928426
cool down,all,ST,0.7209711406680488,0.3389372220286204
cool down,TCap,S1,0.661603687917945,0.2663793850421064
cool down,TCap,ST,0.7273424095448515,0.3317375000130648
cool down,TPipe,S1,0.6384030411799604,0.2898932999369031
cool down,TPipe,ST,0.7049802640048506,0.35701722533532554
stationary,all,S1,0.5714442279815414,0.4072996331003543
stationary,all,ST,0.592531413520754,0.4281910213812993
stationary,TCap,S1,0.5715306908484292,0.4067983964399629
stationary,TCap,ST,0.5930495257247834,0.42811243479953087
stationary,TPipe,S1,0.5712363117614699,0.4083265219873574
stationary,TPipe,ST,0.591467296301498,0.42838135939038535
