Class,Goal,Analysis variable,heatPumpSystem.declination,vol.V,heaCap.C,rad.n,theCon.G
global,all,S1,3.699703925116529e-05,0.001281425172057828,0.0015227349583394145,0.0008281593221427361,0.8366451874300566
global,all,ST,0.10796269929100588,0.12727189909324055,0.1155495847504745,0.14553950605124466,0.9611281699385661
global,Electricity,S1,0.00031747319966370904,0.00024353085199873387,0.0003764898090155623,0.000135902101349077,0.2273758074248678
global,Electricity,ST,0.7453376933545235,0.743962586600946,0.7341629863644938,0.6621874987030962,0.9102144331281674
global,Room temperature,S1,1.9287204118830097e-06,0.0014180823531301531,0.0017859984591948764,0.0010890901444372842,0.8978566425268381
global,Room temperature,ST,0.05035547650977379,0.06154859380863109,0.055193397879125805,0.09792075841836423,0.9851648659973355
On,all,S1,0.00020018029301728152,0.0003732800506908317,0.00033910160370510047,0.0017703482120637846,0.6715942611517385
On,all,ST,0.3058265124146551,0.31933112616005177,0.3106200608685906,0.2786203656702405,0.9541458753137816
On,Electricity,S1,0.00031228249245786544,0.00022249786696166632,0.00018164902302868642,0.005685227589962284,0.499599259861104
On,Electricity,ST,0.49059981121348806,0.49021126574835416,0.4861302770522937,0.43359040188437836,0.9465746302805614
On,Room temperature,S1,2.31860405807331e-06,0.001757478870513649,0.0021660414281231893,0.002831257060395158,0.8827135350836856
On,Room temperature,ST,0.06344275024747548,0.07565150101135554,0.06893193702463862,0.10856419232862935,0.9821831915877569
Off,all,S1,2.1272005929025807e-05,0.0014832996244445206,0.0017744830119772596,0.0024849373841675845,0.8229577833899749
Off,all,ST,0.10593723631230523,0.12327425458825259,0.11281478076102636,0.1668689639884684,0.9530787110466263
Off,Electricity,S1,5.73192959411043e-05,6.155556543634787e-05,0.0001669727284376773,0.0023844957443155753,0.7454993026971005
Off,Electricity,ST,0.24742569417945115,0.24087517643428302,0.24085902743964094,0.23074864973329057,0.9621483328487416
Off,Room temperature,S1,1.6988774649118675e-06,0.001263602865036885,0.0016135715721661615,0.0005017013173918048,0.9040316061407335
Off,Room temperature,ST,0.045317364760374956,0.055889602048548204,0.05000328217772776,0.09356248938590017,0.9860860387514716
