Goal,Analysis variable,Interaction,time,heatPumpSystem.declination,vol.V,heaCap.C,rad.n,theCon.G
Pel,S2,heaCap.C,0.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,10.0,1.0842021724855044e-18,0.005739039639365278,,0.0062085305518572165,0.016306116701229542
Pel,S2,heaCap.C,20.0,1.734723475976807e-18,0.013325480338809934,,0.010918385715956158,0.03334865325207567
Pel,S2,heaCap.C,30.0,1.0408340855860843e-17,0.019190788860211208,,0.009995707643608687,0.03949849355456836
Pel,S2,heaCap.C,40.0,0.0,0.022965826541887557,,0.00808267507714111,0.03907543319754342
Pel,S2,heaCap.C,50.0,0.0,0.023128608142052788,,0.007010921418852123,0.037837186188788285
Pel,S2,heaCap.C,60.0,0.0,0.020194018168738004,,0.006646145907492074,0.037962300440912033
Pel,S2,heaCap.C,70.0,6.938893903907228e-18,0.01587054706851239,,0.00648339799093961,0.039593710650097536
Pel,S2,heaCap.C,80.0,0.0,0.01191336782980356,,0.006041253445408928,0.04174147336609568
Pel,S2,heaCap.C,90.0,0.0,0.009157187126794503,,0.005134517160991503,0.0430613385015699
Pel,S2,heaCap.C,100.0,0.0,0.007464653825635787,,0.003921552445523696,0.04272903505895165
Pel,S2,heaCap.C,110.0,0.0,0.0064086286568239455,,0.0026757575254916094,0.04077932023975461
Pel,S2,heaCap.C,120.0,0.0,0.005729211348071608,,0.0015932582951217328,0.037768320746718875
Pel,S2,heaCap.C,130.0,1.734723475976807e-18,0.005311451112668309,,0.0007638169622811025,0.03434203094140853
Pel,S2,heaCap.C,140.0,1.734723475976807e-18,0.005044268084689871,,0.00021213914908115028,0.031016003659361968
Pel,S2,heaCap.C,150.0,0.0,0.004788021875110791,,7.68465496471804e-05,0.028135052692368046
Pel,S2,heaCap.C,160.0,1.734723475976807e-18,0.00443693236434704,,0.0001557201011860715,0.02589149926519352
Pel,S2,heaCap.C,170.0,1.734723475976807e-18,0.003934996715239973,,0.00013347797383939097,0.024338864500652924
Pel,S2,heaCap.C,180.0,0.0,0.003177969746063049,,5.622764582335904e-05,0.023149181319813583
Pel,S2,heaCap.C,190.0,3.469446951953614e-18,0.002030894062030192,,1.0699522429186148e-05,0.022218372526017882
Pel,S2,heaCap.C,200.0,0.0,0.001301591619668507,,0.00013902479475946805,0.020949768661085666
Pel,S2,heaCap.C,210.0,3.469446951953614e-18,0.0012702193553189144,,0.00039610824216913115,0.01889400851772316
Pel,S2,heaCap.C,220.0,1.734723475976807e-18,0.0016552008705105186,,0.0010234486424510192,0.016652042763941277
Pel,S2,heaCap.C,230.0,0.0,0.0014419472579042065,,0.0008859713425806923,0.014118513707058522
Pel,S2,heaCap.C,240.0,8.673617379884035e-19,0.0011503815640532032,,0.0007992435779199669,0.0117922880976844
Pel,S2,heaCap.C,250.0,1.734723475976807e-18,0.000667133171845598,,0.000693330218510993,0.009896178840830605
Pel,S2,heaCap.C,260.0,8.673617379884035e-19,0.0005457775521056328,,0.0006452331054068033,0.00911085978100279
Pel,S2,heaCap.C,270.0,8.673617379884035e-19,0.0008270872686903501,,0.0006325102780531389,0.008714031557284119
Pel,S2,heaCap.C,280.0,8.673617379884035e-19,0.0009513511034605054,,0.0006925392253877491,0.008279589741321258
Pel,S2,heaCap.C,290.0,2.6020852139652106e-18,0.0007680348211216914,,0.0003680971656584396,0.00774161518183325
Pel,S2,heaCap.C,300.0,8.673617379884035e-19,0.0006325192793562246,,0.00032612594273986537,0.007332451713746302
Pel,S2,heaCap.C,310.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,320.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,330.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,340.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,350.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,360.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,370.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,380.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,390.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,400.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,410.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,420.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,430.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,440.0,0.0,0.0,0.0,0.0,0.0
Pel,S2,heaCap.C,450.0,0.0,0.0,0.0,0.0,0.0
