Class,Goal,Analysis variable,speedRamp.duration,valveRamp.duration
global,all,S1,0.5937802470561883,0.38208572826006765
global,all,ST,0.6198934667423768,0.40813867769100104
global,all,S1_conf,0.05927934379285615,0.04537800415317561
global,all,ST_conf,0.05423029420652675,0.03276833043835816
global,TCap,S1,0.593767135664744,0.3823027635340512
global,TCap,ST,0.619670744722624,0.40815965357470885
global,TCap,S1_conf,0.06220399791518888,0.051117416448008275
global,TCap,ST_conf,0.04603250581658939,0.03505929347005915
global,TPipe,S1,0.5938004842864535,0.38172498110708525
global,TPipe,ST,0.6202636490007541,0.4081054179900795
global,TPipe,S1_conf,0.0578191245014379,0.05051546945490835
global,TPipe,ST_conf,0.04932727723753033,0.035402590550360304
heat up,all,S1,0.9960017847412489,0.0001309489323739352
heat up,all,ST,0.9967831515665558,0.0009675760476598921
heat up,all,S1_conf,0.11281061857093035,0.002282031030027039
heat up,all,ST_conf,0.06226298918861027,0.00025592314930269696
heat up,TCap,S1,0.9968046304874463,4.456294614174331e-05
heat up,TCap,ST,0.9972859865346204,0.0003236409507216123
heat up,TCap,S1_conf,0.13253601701746343,0.001487202193566651
heat up,TCap,ST_conf,0.061894634020611794,9.28916273166505e-05
heat up,TPipe,S1,0.9946187206807962,0.0006987366637176041
heat up,TPipe,ST,0.9958352973366467,0.002130999211514989
heat up,TPipe,S1_conf,0.1098836191287225,0.00419208055324135
heat up,TPipe,ST_conf,0.06076365072560032,0.0006294215141259365
cool down,all,S1,0.662473147347816,0.28757989636005366
cool down,all,ST,0.7184360410573779,0.3434917826335655
cool down,all,S1_conf,0.08447646411516352,0.05434718716326143
cool down,all,ST_conf,0.061194854983838476,0.03815207964976311
cool down,TCap,S1,0.669363719279727,0.2810389346908704
cool down,TCap,ST,0.7248603988562174,0.33660171853533416
cool down,TCap,S1_conf,0.08059602453881608,0.055728065307068315
cool down,TCap,ST_conf,0.05718725691482579,0.037545628893716
cool down,TPipe,S1,0.645152844253433,0.3039484862000267
cool down,TPipe,ST,0.7023380837797042,0.36082353581622273
cool down,TPipe,S1_conf,0.06583242177574586,0.06356755996519355
cool down,TPipe,ST_conf,0.05228182308752929,0.04102149803875612
stationary,all,S1,0.5727872461146412,0.4076905846627818
stationary,all,ST,0.5925119530775118,0.4276212828508054
stationary,all,S1_conf,0.06249847211050626,0.04934835959472443
stationary,all,ST_conf,0.047527054476383376,0.03730630620565084
stationary,TCap,S1,0.5729247402261338,0.40726658290953377
stationary,TCap,ST,0.5929959757665975,0.42754083415762084
stationary,TCap,S1_conf,0.05648188575352477,0.052616156960121084
stationary,TCap,ST_conf,0.04705211301080932,0.04036493638135444
stationary,TPipe,S1,0.5724766349459368,0.4085618413210011
stationary,TPipe,ST,0.5915183511101494,0.4278161826946474
stationary,TPipe,S1_conf,0.06374470621654553,0.05020223720222382
stationary,TPipe,ST_conf,0.04799686763454703,0.04016096218158261
