Class,Goal,Analysis variable,speedRamp.duration,valveRamp.duration
global,all,mu_star,0.31305743447674617,0.2438577687647123
global,all,mu,0.3127102405492654,0.24073512993911111
global,all,sigma,0.08508118771216477,0.08475373056594036
global,all,mu_star_conf,0.019161094181496682,0.014063723818849624
global,TCap,mu_star,0.2790018486237064,0.21737023880705805
global,TCap,mu,0.2787084275028493,0.2146430064387138
global,TCap,sigma,0.07562509647679039,0.07532508949412352
global,TCap,mu_star_conf,0.015269278328582221,0.014320753329334024
global,TPipe,mu_star,0.39252046813383934,0.3056620053325721
global,TPipe,mu,0.39204780432423647,0.30161675144003813
global,TPipe,sigma,0.10714679650045936,0.10675564044121401
global,TPipe,mu_star_conf,0.019794076252614232,0.015933238371723796
heat up,all,mu_star,0.04047180930247298,0.0012453633711093609
heat up,all,mu,0.04047180930247298,0.000604602795518513
heat up,all,sigma,0.04008432008503694,0.002869838119027461
heat up,all,mu_star_conf,0.006926096333791133,0.0005187039854856136
heat up,TCap,mu_star,0.03071051240422334,0.0005170131629745076
heat up,TCap,mu,0.03071051240422334,0.0002864534864145227
heat up,TCap,sigma,0.03056340733679365,0.0011782843686675107
heat up,TCap,mu_star_conf,0.006147746994490932,0.00020888382654708014
heat up,TPipe,mu_star,0.06324816873172216,0.003034946096783261
heat up,TPipe,mu,0.06324816873172216,0.0013469511834278307
heat up,TPipe,sigma,0.06239214093815815,0.006936561762070073
heat up,TPipe,mu_star_conf,0.011976140392551259,0.0011254107425354642
cool down,all,mu_star,1.769730414899365,1.1969401930252628
cool down,all,mu,1.7364806700062225,1.048494694797056
cool down,all,sigma,1.1806097556092914,1.009771894653784
cool down,all,mu_star_conf,0.22030423949275754,0.14835748078362918
cool down,TCap,mu_star,1.8048395624463764,1.2046696479939747
cool down,TCap,mu,1.7706637908809941,1.0492729896624347
cool down,TCap,sigma,1.2200744465504736,1.032538120458078
cool down,TCap,mu_star_conf,0.2227941462869606,0.17493124500507318
cool down,TPipe,mu_star,1.6878090706230073,1.1789047980982692
cool down,TPipe,mu,1.6567200546317584,1.046678673444506
cool down,TPipe,sigma,1.0893102467350555,0.957220794495985
cool down,TPipe,mu_star_conf,0.20156688714792548,0.15011913343216818
stationary,all,mu_star,1.3888562118897565,1.1341892352947918
stationary,all,mu,1.3888562118897565,1.1341892352947918
stationary,all,sigma,0.2881177509667847,0.2968232362236692
stationary,all,mu_star_conf,0.058825105552902796,0.05599901566585096
stationary,TCap,mu_star,1.3398622145793047,1.0931692061970422
stationary,TCap,mu,1.3398622145793047,1.0931692061970422
stationary,TCap,sigma,0.28112172414276876,0.28938860523544085
stationary,TCap,mu_star_conf,0.056354906247524365,0.05037412914531874
stationary,TPipe,mu_star,1.5031755389474784,1.2299026365228756
stationary,TPipe,mu,1.5031755389474784,1.2299026365228756
stationary,TPipe,sigma,0.30513199502486715,0.31475374712568294
stationary,TPipe,mu_star_conf,0.061795456321479335,0.06497250778947744
