Class,Goal,Analysis variable,heatPumpSystem.declination,vol.V,heaCap.C,rad.n,theCon.G
global,all,S1,0.0,9.981171761535852e-05,0.0006857904459304658,0.002475490822438631,0.9034639249125812
global,all,ST,0.0,0.003924512984803624,0.005754568135873106,0.08557418979309585,0.996242292472142
global,all,S1_conf,0.0,0.006127994199815119,0.007079330293270881,0.02399533909683912,0.09344179756910223
global,all,ST_conf,0.0,0.0009589708186608186,0.0012692922801728398,0.013898486050221329,0.0657804146571587
global,Electricity,S1,0.0,0.004477503576317218,0.006310771628947152,0.00204836976045287,0.5678532847040125
global,Electricity,ST,0.0,0.013763720073739955,0.022396392507374758,0.39660081655872514,0.9672826287670265
global,Electricity,S1_conf,0.0,0.015470866341642447,0.017417005814734383,0.0649339382173066,0.11559057970804365
global,Electricity,ST_conf,0.0,0.0069449048405892215,0.009900323949783203,0.07791229303480955,0.10082753378837742
global,Room temperature,S1,0.0,0.0033096370749875143,0.001146806433852794,0.002413851502786947,0.9419961540472024
global,Room temperature,ST,0.0,0.0026379181713934896,0.003581832030264988,0.044513984703652455,0.9964165506793828
global,Room temperature,S1_conf,0.0,0.004423940070216972,0.004839345174559873,0.018500634013359336,0.10666025751334397
global,Room temperature,ST_conf,0.0,0.0005138510038039782,0.0008041833135976853,0.00539837928247146,0.06899766363253093
On,all,S1,0.0,0.0026068368373645782,0.0028751878924056485,0.009521743542029079,0.7920006147757741
On,all,ST,0.0,0.006147796126319411,0.010659358187485516,0.19553595331722928,0.987302118023262
On,all,S1_conf,0.0,0.0075902160199334415,0.008452324281255594,0.035255014530575154,0.08576669816482141
On,all,ST_conf,0.0,0.0030602558680729404,0.005255851453639148,0.039812909298835006,0.07097571619906619
On,Electricity,S1,0.0,0.0031019198825259484,0.005124928494282338,0.009701390838402867,0.6980120801756866
On,Electricity,ST,0.0,0.008683574599556498,0.015489359257563002,0.2807328712345282,0.9735591382638042
On,Electricity,S1_conf,0.0,0.010227763415624855,0.011370525734316801,0.04982606736346287,0.09324022268550188
On,Electricity,ST_conf,0.0,0.004566892958008373,0.006201867415676126,0.050993107858154786,0.07750162414998682
On,Room temperature,S1,0.0,0.0029933039637624194,0.0009301875580098956,0.00016093981027493417,0.9428611143479794
On,Room temperature,ST,0.0,0.0034231262143536614,0.004484530618641006,0.04381099350863442,0.994051176596271
On,Room temperature,S1_conf,0.0,0.004616920614669334,0.004999791841751198,0.01731718539750302,0.11471695294044447
On,Room temperature,ST_conf,0.0,0.0006231299214510954,0.0009647445473571392,0.006128433646316758,0.06012647776512428
Off,all,S1,0.0,0.000844647455915583,0.0013464195899526988,0.00354275763037027,0.9048517811798845
Off,all,ST,0.0,0.0042322310847638656,0.005923099495160968,0.0840804056726998,0.9986180079159158
Off,all,S1_conf,0.0,0.00728926308747947,0.007435125529932373,0.027468292118276526,0.08724140072263453
Off,all,ST_conf,0.0,0.0009646044811803216,0.0011668302153965255,0.013502941144022932,0.06668288285873901
Off,Electricity,S1,0.0,0.00278675622554076,0.0006291696318957217,0.004539947869769703,0.8773304445310295
Off,Electricity,ST,0.0,0.004925693822333759,0.007104860219666679,0.1103424586810084,0.9966021882294881
Off,Electricity,S1_conf,0.0,0.007578755136460543,0.00875440239308875,0.028765438194848458,0.06871983628415697
Off,Electricity,ST_conf,0.0,0.002477096234671017,0.0029887350984999397,0.01890838214596232,0.056443330805657846
Off,Room temperature,S1,0.0,0.0034799055229904645,0.0014853595907252887,0.003098722176793324,0.9407765733177197
Off,Room temperature,ST,0.0,0.0024704165374669885,0.0033841994131140907,0.04520553459523207,0.9968220514703601
Off,Room temperature,S1_conf,0.0,0.004208882503404611,0.004651472681642032,0.016913167020701277,0.09678062439511863
Off,Room temperature,ST_conf,0.0,0.0005014151372478863,0.0007290413056634394,0.005422544915661947,0.06869125727764101
