Class,Goal,Analysis variable,Interaction,heatPumpSystem.declination,vol.V,heaCap.C,rad.n,theCon.G
global,all,S2,heatPumpSystem.declination,,2.2768245622195593e-18,1.951563910473908e-18,4.336808689942018e-18,0.0
global,all,S2,vol.V,2.2768245622195593e-18,,0.0009434796751958398,0.001349665834839888,0.0008712101367860381
global,all,S2,heaCap.C,1.951563910473908e-18,0.0009434796751958398,,0.0031919273508358424,0.003742997239774337
global,all,S2,rad.n,4.336808689942018e-18,0.001349665834839888,0.0031919273508358424,,0.07391700230996812
global,all,S2,theCon.G,0.0,0.0008712101367860381,0.003742997239774337,0.07391700230996812,
global,all,S2_conf,heatPumpSystem.declination,,6.3844938717002024e-18,7.383295339417844e-18,1.6012755729664826e-17,1.9328317118102763e-16
global,all,S2_conf,vol.V,6.3844938717002024e-18,,0.008445416150214794,0.007923556873010072,0.012077636741657615
global,all,S2_conf,heaCap.C,7.383295339417844e-18,0.008445416150214794,,0.010807518665064122,0.014585675197420675
global,all,S2_conf,rad.n,1.6012755729664826e-17,0.007923556873010072,0.010807518665064122,,0.03747907348954445
global,all,S2_conf,theCon.G,1.9328317118102763e-16,0.012077636741657615,0.014585675197420675,0.03747907348954445,
global,Electricity,S2,heatPumpSystem.declination,,0.0,8.673617379884035e-19,6.5052130349130266e-18,1.1102230246251565e-16
global,Electricity,S2,vol.V,0.0,,0.012286868908583073,0.0067684949821407246,0.004648745804725407
global,Electricity,S2,heaCap.C,8.673617379884035e-19,0.012286868908583073,,0.016800006045762463,0.00935891471147643
global,Electricity,S2,rad.n,6.5052130349130266e-18,0.0067684949821407246,0.016800006045762463,,0.2908826230658256
global,Electricity,S2,theCon.G,1.1102230246251565e-16,0.004648745804725407,0.00935891471147643,0.2908826230658256,
global,Electricity,S2_conf,heatPumpSystem.declination,,9.41661885783599e-18,1.0245364444250908e-17,2.3970692473369066e-17,1.6689810540597914e-16
global,Electricity,S2_conf,vol.V,9.41661885783599e-18,,0.017403827364213455,0.016637258784640365,0.020034747218354042
global,Electricity,S2_conf,heaCap.C,1.0245364444250908e-17,0.017403827364213455,,0.029927395207655312,0.020538494345680558
global,Electricity,S2_conf,rad.n,2.3970692473369066e-17,0.016637258784640365,0.029927395207655312,,0.11817831076235108
global,Electricity,S2_conf,theCon.G,1.6689810540597914e-16,0.020034747218354042,0.020538494345680558,0.11817831076235108,
global,Room temperature,S2,heatPumpSystem.declination,,4.336808689942018e-18,2.3852447794681098e-18,1.734723475976807e-18,0.0
global,Room temperature,S2,vol.V,4.336808689942018e-18,,0.003325000694632053,0.002953302661897171,0.0005579528276739021
global,Room temperature,S2,heaCap.C,2.3852447794681098e-18,0.003325000694632053,,0.0011122629069048534,0.0021325274085535195
global,Room temperature,S2,rad.n,1.734723475976807e-18,0.002953302661897171,0.0011122629069048534,,0.0488280700128535
global,Room temperature,S2,theCon.G,0.0,0.0005579528276739021,0.0021325274085535195,0.0488280700128535,
global,Room temperature,S2_conf,heatPumpSystem.declination,,7.393662097468368e-18,6.262983987110103e-18,1.3728037634602546e-17,1.7462840114333936e-16
global,Room temperature,S2_conf,vol.V,7.393662097468368e-18,,0.006683452235837769,0.006698233743717954,0.012121967609502154
global,Room temperature,S2_conf,heaCap.C,6.262983987110103e-18,0.006683452235837769,,0.007332941382947123,0.015047392539198966
