Class,Goal,Analysis variable,Interaction,heatPumpSystem.declination,vol.V,heaCap.C,rad.n,theCon.G
global,Room temperature,S2_conf,rad.n,1.3728037634602546e-17,0.006698233743717954,0.007332941382947123,,0.03017035381753847
global,Room temperature,S2_conf,theCon.G,1.7462840114333936e-16,0.012121967609502154,0.015047392539198966,0.03017035381753847,
On,all,S2,heatPumpSystem.declination,,0.0,1.3010426069826053e-18,5.204170427930421e-18,1.1102230246251565e-16
On,all,S2,vol.V,0.0,,0.0010143816466899936,0.0017959596623205306,0.0011416642959209966
On,all,S2,heaCap.C,1.3010426069826053e-18,0.0010143816466899936,,0.007260482280736972,0.00018933793403996813
On,all,S2,rad.n,5.204170427930421e-18,0.0017959596623205306,0.007260482280736972,,0.1391820233739386
On,all,S2,theCon.G,1.1102230246251565e-16,0.0011416642959209966,0.00018933793403996813,0.1391820233739386,
On,all,S2_conf,heatPumpSystem.declination,,7.592851808382974e-18,7.887921955624244e-18,1.883943426136829e-17,2.4253567249097665e-16
On,all,S2_conf,vol.V,7.592851808382974e-18,,0.010351198334042603,0.009628069064404552,0.010174590252513703
On,all,S2_conf,heaCap.C,7.887921955624244e-18,0.010351198334042603,,0.012081812359311923,0.011557058577621087
On,all,S2_conf,rad.n,1.883943426136829e-17,0.009628069064404552,0.012081812359311923,,0.0650775784571036
On,all,S2_conf,theCon.G,2.4253567249097665e-16,0.010174590252513703,0.011557058577621087,0.0650775784571036,
On,Electricity,S2,heatPumpSystem.declination,,8.673617379884035e-19,1.734723475976807e-18,8.673617379884035e-18,0.0
On,Electricity,S2,vol.V,8.673617379884035e-19,,0.005271268351831465,0.0012667573081751142,0.0018192954547141538
On,Electricity,S2,heaCap.C,1.734723475976807e-18,0.005271268351831465,,0.012755937805991735,0.00043805112272488067
On,Electricity,S2,rad.n,8.673617379884035e-18,0.0012667573081751142,0.012755937805991735,,0.1985308689654931
On,Electricity,S2,theCon.G,0.0,0.0018192954547141538,0.00043805112272488067,0.1985308689654931,
On,Electricity,S2_conf,heatPumpSystem.declination,,1.1116176166041256e-17,1.3526852744647269e-17,2.7718905218416113e-17,1.2026288471501823e-16
On,Electricity,S2_conf,vol.V,1.1116176166041256e-17,,0.014073753894595122,0.012666168993853914,0.014445659324622266
On,Electricity,S2_conf,heaCap.C,1.3526852744647269e-17,0.014073753894595122,,0.018626896976920534,0.012691184530164962
On,Electricity,S2_conf,rad.n,2.7718905218416113e-17,0.012666168993853914,0.018626896976920534,,0.08232452192112935
On,Electricity,S2_conf,theCon.G,1.2026288471501823e-16,0.014445659324622266,0.012691184530164962,0.08232452192112935,
On,Room temperature,S2,heatPumpSystem.declination,,1.734723475976807e-18,1.5178830414797062e-18,7.914675859144182e-18,0.0
On,Room temperature,S2,vol.V,1.734723475976807e-18,,0.0031022408775590116,0.002836810687308447,7.499030206692403e-05
On,Room temperature,S2,heaCap.C,1.5178830414797062e-18,0.0031022408775590116,,0.001046359044839581,0.0017718025338738785
On,Room temperature,S2,rad.n,7.914675859144182e-18,0.002836810687308447,0.001046359044839581,,0.04410303112518099
On,Room temperature,S2,theCon.G,0.0,7.499030206692403e-05,0.0017718025338738785,0.04410303112518099,
On,Room temperature,S2_conf,heatPumpSystem.declination,,7.799090673111322e-18,6.444142203779651e-18,1.1450305268565058e-17,2.7727851172547907e-16
On,Room temperature,S2_conf,vol.V,7.799090673111322e-18,,0.007176033519265127,0.007054759433084827,0.013229751043951616
On,Room temperature,S2_conf,heaCap.C,6.444142203779651e-18,0.007176033519265127,,0.008032085960969075,0.014097813204162314
On,Room temperature,S2_conf,rad.n,1.1450305268565058e-17,0.007054759433084827,0.008032085960969075,,0.03131143115746934
On,Room temperature,S2_conf,theCon.G,2.7727851172547907e-16,0.013229751043951616,0.014097813204162314,0.03131143115746934,
Off,all,S2,heatPumpSystem.declination,,3.0357660829594124e-18,3.903127820947816e-18,0.0,0.0
Off,all,S2,vol.V,3.0357660829594124e-18,,0.000809740719460693,0.0005804211966973986,0.0003454899729710137
Off,all,S2,heaCap.C,3.903127820947816e-18,0.000809740719460693,,0.004131025379532775,0.005793908759675337
Off,all,S2,rad.n,0.0,0.0005804211966973986,0.004131025379532775,,0.07948685257854182
Off,all,S2,theCon.G,0.0,0.0003454899729710137,0.005793908759675337,0.07948685257854182,
Off,all,S2_conf,heatPumpSystem.declination,,7.57142463817432e-18,7.056857516105084e-18,1.6481328827545575e-17,2.1315843655366831e-16
Off,all,S2_conf,vol.V,7.57142463817432e-18,,0.00982567554015715,0.009175343548334124,0.012914751862315837
Off,all,S2_conf,heaCap.C,7.056857516105084e-18,0.00982567554015715,,0.009749632187608425,0.014820366210237851
Off,all,S2_conf,rad.n,1.6481328827545575e-17,0.009175343548334124,0.009749632187608425,,0.038417691808124266
Off,all,S2_conf,theCon.G,2.1315843655366831e-16,0.012914751862315837,0.014820366210237851,0.038417691808124266,
Off,Electricity,S2,heatPumpSystem.declination,,3.469446951953614e-18,6.505213034913027e-19,2.6020852139652106e-18,1.1102230246251565e-16
Off,Electricity,S2,vol.V,3.469446951953614e-18,,6.996823615311107e-05,0.00138519427742099,0.000162397792841662
Off,Electricity,S2,heaCap.C,6.505213034913027e-19,6.996823615311107e-05,,0.0035855327083588896,0.006286369666079872
Off,Electricity,S2,rad.n,2.6020852139652106e-18,0.00138519427742099,0.0035855327083588896,,0.08485607591232924
Off,Electricity,S2,theCon.G,1.1102230246251565e-16,0.000162397792841662,0.006286369666079872,0.08485607591232924,
Off,Electricity,S2_conf,heatPumpSystem.declination,,9.207264608941349e-18,1.0876240330647538e-17,1.421062444277043e-17,2.1511277875398801e-16
Off,Electricity,S2_conf,vol.V,9.207264608941349e-18,,0.009805926794353478,0.00988239968681761,0.00875351289838158
Off,Electricity,S2_conf,heaCap.C,1.0876240330647538e-17,0.009805926794353478,,0.011071340322830381,0.009862303983600234
Off,Electricity,S2_conf,rad.n,1.421062444277043e-17,0.00988239968681761,0.011071340322830381,,0.042363775402363954
Off,Electricity,S2_conf,theCon.G,2.1511277875398801e-16,0.00875351289838158,0.009862303983600234,0.042363775402363954,
Off,Room temperature,S2,heatPumpSystem.declination,,3.903127820947816e-18,2.168404344971009e-18,3.0357660829594124e-18,0.0
Off,Room temperature,S2,vol.V,3.903127820947816e-18,,0.003288220586336853,0.0030091126397154997,0.0011188479106749583
Off,Room temperature,S2,heaCap.C,2.168404344971009e-18,0.003288220586336853,,0.0007218902651460837,0.002107649671139855
Off,Room temperature,S2,rad.n,3.0357660829594124e-18,0.0030091126397154997,0.0007218902651460837,,0.05001533759434096
Off,Room temperature,S2,theCon.G,0.0,0.0011188479106749583,0.002107649671139855,0.05001533759434096,
Off,Room temperature,S2_conf,heatPumpSystem.declination,,7.280244257669331e-18,6.930284777592844e-18,1.1408219380144552e-17,1.7867605642290127e-16
Off,Room temperature,S2_conf,vol.V,7.280244257669331e-18,,0.006545268949917151,0.006331104808848709,0.012134941223556442
Off,Room temperature,S2_conf,heaCap.C,6.930284777592844e-18,0.006545268949917151,,0.0073908208461457795,0.0139985170430143
Off,Room temperature,S2_conf,rad.n,1.1408219380144552e-17,0.006331104808848709,0.0073908208461457795,,0.029454309402864493
Off,Room temperature,S2_conf,theCon.G,1.7867605642290127e-16,0.012134941223556442,0.0139985170430143,0.029454309402864493,
